seq,rtt_ms,inter_arrival_ms,timestamp
727,67.265,69.085,1770976467.506211
728,56.727,59.896,1770976467.566107
729,58.145,59.946,1770976467.626053
730,59.175,61.088,1770976467.687141
731,56.145,57.964,1770976467.745105
732,62.016,63.987,1770976467.809092
733,54.070,57.061,1770976467.866153
734,54.077,55.938,1770976467.922091
735,54.211,56.014,1770976467.978105
736,54.026,56.008,1770976468.034113
737,57.288,59.019,1770976468.093132
738,53.967,55.999,1770976468.149131
739,54.246,55.996,1770976468.205128
740,56.216,58.127,1770976468.263255
741,60.247,61.877,1770976468.325132
742,57.897,60.967,1770976468.386099
743,54.355,55.986,1770976468.442085
744,50.139,52.015,1770976468.494100
745,59.145,60.935,1770976468.555035
746,52.256,54.076,1770976468.609111
747,55.295,57.019,1770976468.666129
748,54.208,56.154,1770976468.722284
749,59.357,61.808,1770976468.784092
750,55.859,58.025,1770976468.842117
751,53.302,54.991,1770976468.897107
752,57.284,59.075,1770976468.956183
753,51.155,53.021,1770976469.009204
754,52.144,53.909,1770976469.063113
755,56.254,58.028,1770976469.121141
756,55.268,57.000,1770976469.178141
757,54.190,55.962,1770976469.234103
758,64.103,65.971,1770976469.300073
759,59.242,62.343,1770976469.362416
760,53.790,55.708,1770976469.418124
761,55.022,56.935,1770976469.475059
762,48.133,50.094,1770976469.525153
763,58.300,60.046,1770976469.585200
764,55.818,57.872,1770976469.643071
765,58.187,60.064,1770976469.703135
766,57.278,59.244,1770976469.762379
767,56.939,58.772,1770976469.821151
768,54.023,56.001,1770976469.877152
